City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
גבעתיים,"גבעת רמב""ם",2,6,2,200,172672,4,178,146,12,35,5,68
גבעתיים,"הל""ה",1,3,2,205,53038,1,183,144,2,43,6,53
גבעתיים,סיטי,2,6,2,200,17334,4,356,290,1,2,5,109
גבעתיים,פועלי הרכבת,1,4,2,273,19728,2,262,116,4,25,3,48
גבעתיים,קריית יוסף,2,2,2,200,20143,4,162,151,4,12,2,53
גבעתיים,שטח 9,2,2,2,200,167718,3,177,137,3,2,5,130
גבעתיים,שיכון חברת חשמל,2,7,2,195,145837,4,168,137,2,5,5,106
גבעתיים,שינקין,2,3,2,200,46563,3,173,145,6,68,5,36
גבעתיים,תל גנים,3,15,5,250,145837,4,168,137,11,24,6,126
הוד השרון,גיל עמל,2,10,1,338,22226,3,316,302,3,6,8,217
הוד השרון,הדר,4,13,3,452,50753,3,244,311,13,42,8,182
הוד השרון,מגדיאל,5,17,5,235,22663,4,289,349,16,32,6,202
הוד השרון,מתחם 1200,2,18,1,199,13445,3,246,485,3,1,7,212
הוד השרון,מתחם 200,2,10,1,316,13445,3,333,271,3,8,7,250
הוד השרון,נווה הדר,2,3,1,316,22444,3,246,587,2,3,2,320
הוד השרון,נווה נאמן,2,3,1,348,2187,1,198,560,3,12,9,110
הוד השרון,רמות מנחם,2,8,1,459,22444,3,246,587,2,3,7,241
הוד השרון,רמתיים,1,7,1,294,50753,3,244,311,2,8,7,156
הוד השרון,שרת,2,12,1,291,64198,5,257,314,13,45,5,122
הרצלייה,גורדון,2,8,2,291,22476,2,217,445,4,7,1,174
הרצלייה,"גן רש""ל",1,3,1,423,10559,2,185,335,3,5,3,118
הרצלייה,גני הרצליה,1,7,2,190,19170,2,152,497,3,2,2,134
הרצלייה,דרום,2,1,2,291,8263,2,162,378,4,3,2,33
הרצלייה,הרצליה ב,1,6,1,523,56627,1,222,385,4,9,3,167
הרצלייה,הרצליה הירוקה,1,26,1,316,24772,5,222,384,4,4,2,148
הרצלייה,הרצליה הצעירה,2,9,1,268,19170,2,176,438,6,13,1,120
הרצלייה,הרצליה פיתוח,2,9,3,670,56627,6,231,465,16,38,3,217
הרצלייה,וייצמן,2,12,2,171,10907,2,253,402,4,9,2,94
הרצלייה,יד התשעה,3,5,2,184,13865,2,201,378,4,11,8,59
הרצלייה,מרכז העיר,11,35,8,291,33035,2,216,406,64,141,11,92
הרצלייה,נווה אמירים,2,5,2,291,5213,2,169,412,4,1,2,113
הרצלייה,נווה ישראל,2,8,2,271,19170,2,123,403,4,10,8,119
הרצלייה,נווה עמל,4,16,4,298,24772,1,228,414,6,24,21,183
הרצלייה,נוף ים,2,8,2,291,52425,2,255,507,4,6,2,140
הרצלייה,נחלת עדה,2,8,4,291,19170,2,137,409,4,2,2,153
הרצלייה,צמרות,2,8,1,291,5213,2,155,412,2,6,2,89
נס ציונה,מרכז מזרחי,5,13,8,234,85171,7,348,208,17,44,17,108
נס ציונה,ארגמן,1,11,2,655,22464,1,233,334,4,3,2,166
נס ציונה,גבעת האירוסים,1,3,2,246,22464,1,215,360,4,1,2,153
נס ציונה,גבעת הצבר,1,2,2,246,79901,1,349,127,4,1,2,110
נס ציונה,גבעת התור,1,1,2,246,15280,1,189,313,4,1,2,184
נס ציונה,גבעת מיכאל,1,4,2,246,15280,1,210,285,4,1,2,234
נס ציונה,גבעת נוף,1,1,2,246,59835,1,452,150,4,2,2,92
נס ציונה,גני איריס,1,4,2,534,15280,1,158,363,4,1,2,240
נס ציונה,גני הדר,1,4,2,246,61794,1,436,179,4,1,2,106
נס ציונה,הדרי סמל,1,9,2,246,37744,1,192,299,1,1,1,121
נס ציונה,וואלי,1,6,2,344,45715,1,152,843,4,1,1,172
נס ציונה,וילה דורי,1,4,2,246,6150,1,441,157,4,1,1,243
נס ציונה,טירת שלום,1,3,2,406,45715,1,152,843,4,4,5,175
נס ציונה,יד אליעזר,1,3,1,246,69024,2,381,150,2,3,3,99
נס ציונה,כפר אהרון,1,4,2,246,45715,1,266,903,4,1,2,297
נס ציונה,כפר אהרון הישנה,1,6,2,246,45715,1,152,843,4,1,2,475
נס ציונה,לב המושבה,1,4,2,186,53686,1,461,287,4,1,2,209
נס ציונה,מרכז מזרחי,5,13,8,234,85171,7,348,208,17,44,17,108
נס ציונה,מרכז מערבי,1,6,2,205,54817,1,282,287,4,23,3,65
נס ציונה,נווה ניר,1,4,1,244,70097,1,255,273,7,6,2,114
נס ציונה,סביוני הפארק,1,2,2,246,71792,1,316,155,4,1,2,175
נס ציונה,סביוני נצר סירני,1,11,2,246,2010,1,405,254,2,1,2,129
נס ציונה,עמידר,1,4,1,246,1131,1,224,330,1,1,1,129
נס ציונה,פסגת סלע,1,4,2,246,45715,1,294,426,4,1,2,297
נס ציונה,רמת בן צבי,1,5,2,249,15280,1,195,311,5,1,2,135
נס ציונה,רמת סמל,1,4,2,246,79843,1,255,233,4,1,2,196
