,City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
48,אשדוד,רובע ה,11.0,24.0,3.0,139.0,246187.0,3.0,288.0,266.0,12.0,10.0,8.0,107.0
49,אשדוד,רובע ו,6.0,24.0,7.0,139.0,143038.0,3.0,342.0,259.0,15.0,13.0,13.0,116.0
50,אשדוד,רובע ז,30.0,126.0,1.0,94.0,55055.0,3.0,396.0,256.0,12.0,10.0,10.0,102.0
51,אשדוד,רובע ח,7.0,29.0,5.0,135.0,120217.0,,382.0,407.0,13.0,16.0,11.0,100.0
52,אשדוד,רובע ט,5.0,23.0,2.0,186.0,33368.0,3.0,411.0,439.0,8.0,3.0,4.0,211.0
53,אשדוד,"רובע ט""ו",4.0,18.0,0.0,229.0,149428.0,7.0,253.0,319.0,3.0,18.0,4.0,167.0
54,אשדוד,"רובע ט""ז",2.0,6.0,0.0,249.0,147358.0,,191.0,476.0,0.0,1.0,0.0,185.0
55,אשדוד,רובע י,3.0,13.0,4.0,175.0,76633.0,5.0,418.0,467.0,7.0,8.0,2.0,126.0
56,אשדוד,"רובע י""א",6.0,25.0,4.0,270.0,59867.0,2.0,252.0,405.0,16.0,16.0,7.0,104.0
57,אשדוד,"רובע י""ב",4.0,30.0,2.0,159.0,133834.0,,368.0,312.0,8.0,9.0,2.0,174.0
58,אשדוד,"רובע י""ג",4.0,26.0,0.0,191.0,131764.0,3.0,317.0,458.0,7.0,5.0,2.0,172.0
59,אשדוד,"רובע י""ז",2.0,10.0,0.0,192.0,98535.0,2.0,189.0,279.0,1.0,3.0,0.0,302.0
60,אשדוד,רובע מיוחד,1.0,0.0,0.0,664.0,75480.0,,401.0,477.0,1.0,4.0,0.0,850.0
61,אשדוד,רובע סיטי,4.0,29.0,1.0,190.0,201260.0,1.0,380.0,320.0,12.0,25.0,3.0,83.0
62,בת ים,בית וגן,0.0,9.0,1.0,0.0,107893.0,1.0,173.0,190.0,2.0,3.0,0.0,91.0
63,בת ים,דרום-מערב,6.0,28.0,2.0,149.0,145151.0,2.0,198.0,217.0,10.0,65.0,13.0,76.0
64,בת ים,ותיקים,2.0,12.0,2.0,188.0,140699.0,4.0,196.0,213.0,5.0,14.0,5.0,71.0
65,בת ים,מרכז העיר,7.0,30.0,3.0,176.0,106488.0,7.0,198.0,227.0,15.0,105.0,12.0,45.0
